page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,52000,449.5,Michigan,"It’s true: Trump lost more than 200,000 manufacturing jobs during his presidency.",kamalaharris.com,,,HARRIS FOR PRESIDENT,115.6840934
Kamala Harris,69000,599,Michigan,Trump is only out for himself. Vice President Harris fights for the American people.,kamalaharris.com,,,HARRIS FOR PRESIDENT,115.1919866
Kamala Harris,460000,4000,Michigan,There’s no question: Kamala Harris is the only candidate who fights for you.,kamalaharris.com,,,HARRIS FOR PRESIDENT,115
Kamala Harris,400000,3549.5,Michigan,,www.nbcnews.com,,,HARRIS FOR PRESIDENT,112.6919284
Kamala Harris,45000,400,Michigan,"Trump’s Project 2025 agenda would give him total control over our lives. It will force states to monitor women’s pregnancies and will ban abortion nationwide. As president, Kamala Harris will fight to restore our reproductive freedom.",kamalaharris.com,,Trump would punish women,HARRIS FOR PRESIDENT,112.5
Kamala Harris,425000,3800,Michigan,Kamala Harris will not take a single voter for granted – she’s working every day to earn the vote.,kamalaharris.com,,,HARRIS FOR PRESIDENT,111.8421053
Kamala Harris,1697998,15247.5,Michigan,Former Trump staffers know exactly what will happen if Trump is reelected: he’ll place America’s national security at risk. We can’t let that happen.,kamalaharris.com,,,HARRIS FOR PRESIDENT,111.3623873
Kamala Harris,450499.5,4049.5,Michigan,"While Donald Trump is fighting for the ultra-rich, Kamala Harris is fighting for the middle class.",kamalaharris.com,,Harris Fights for the Middle Class,HARRIS FOR PRESIDENT,111.2481788
Kamala Harris,200000,1800,Michigan,"Donald Trump is unchecked, unhinged, and unstable. We’re not going back.",www.kamalaharris.com,,,HARRIS FOR PRESIDENT,111.1111111
Kamala Harris,100000,900,Michigan,Trump gave tax breaks to big corporations that shipped jobs overseas. Kamala Harris will invest in American autoworkers and boost our local economies.,kamalaharris.com,,Kamala Harris has our backs,HARRIS FOR PRESIDENT,111.1111111
Kamala Harris,155000,1400,Michigan,"Trump brags about overturning Roe v. Wade, and now, he intends to ban abortion nationwide.",kamalaharris.com,,,HARRIS FOR PRESIDENT,110.7142857
