page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,60000,549.5,Nevada,"Escucha las palabras del Chef José Andrés: Si estás cansado de los ataques de Trump y de la división, podemos darle vuelta a la página. Kamala Harris bajará precios, apoyará a los negocios, y ayudará a las familias latinas a avanzar. Vota por Harris-Walz el 5 de noviembre.",kamalaharris.com,,Dejemos a Trump en el pasado,HARRIS FOR PRESIDENT,109.1901729
Kamala Harris,358998,3295,Nevada,"When we vote, we win.",iwillvote.com,,Vote,HARRIS FOR PRESIDENT,108.952352
Kamala Harris,324000,3000,Nevada,Kamala Harris knows we need immigration reform. Families should be together.,kamalaharris.com,,,HARRIS FOR PRESIDENT,108
Kamala Harris,16000,149.5,Nevada,"Hadley was only 12 years old when her stepfather at the time impregnated her after years of sexual abuse. She didn’t know what to do, but she had options. Now, because of Donald Trump, girls like Hadley have lost the right to choose.",kamalaharris.com,,,HARRIS FOR PRESIDENT,107.0234114
Kamala Harris,149000,1399,Nevada,Kamala Harris is the candidate who is going to fight for the middle class.,kamalaharris.com,,,HARRIS FOR PRESIDENT,106.5046462
Kamala Harris,564000,5297,Nevada,"Hear it from Chef José Andrés: If you’re tired of Trump’s attacks and division, we can turn the page. Kamala Harris will bring down costs, support small businesses, and help Latino families get ahead.",kamalaharris.com,,,HARRIS FOR PRESIDENT,106.4753634
Kamala Harris,85000,800,Nevada,More than one in three women of reproductive age live in a state with a Trump Abortion Ban. Kamala Harris is fighting for EVERY woman in America to have access to reproductive health care.,kamalaharris.com,,,HARRIS FOR PRESIDENT,106.25
Kamala Harris,575000,5500,Nevada,Dr. Quintana is right: Trump would rip away the Affordable Care Act. Kamala Harris will protect our health care.,kamalaharris.com,,,HARRIS FOR PRESIDENT,104.5454545
Kamala Harris,714000,6898,Nevada,"This election will be razor close, so your vote is more critical than ever.",iwillvote.com,,,HARRIS FOR PRESIDENT,103.5082633
Kamala Harris,295000,2900,Nevada,Take it from Mark Cuban: Kamala Harris’ economic plan will support businesses and startups.,kamalaharris.com,,,HARRIS FOR PRESIDENT,101.7241379
Kamala Harris,405000,4000,Nevada,"El Dr. Quintana tiene razón: Trump eliminaría la Ley de Cuidado de la Salud a Bajo Precio, Kamala Harris protegerá nuestra atención médica.",kamalaharris.com,,,HARRIS FOR PRESIDENT,101.25
Kamala Harris,15000,148.5,Nevada,"Donald Trump said it best: He doesn’t care about you. Meanwhile, Vice President Harris has always fought for middle class families.",kamalaharris.com,,,HARRIS FOR PRESIDENT,101.010101
Kamala Harris,10000,99,Nevada,"Project 2025 facts: Jeopardize overtime pay, ban abortion nationwide, and give Trump virtually unchecked power.",www.kamalaharris.com,,Defeat Project 2025,HARRIS FOR PRESIDENT,101.010101
Kamala Harris,1351499.5,13398,Nevada,"Kamala Harris has a plan to lower costs. A Harris presidency will make it easier to buy a house, afford groceries, and pay the bills. Among her plans is to give $25k to first-time homebuyers so they can get their foot in the door.",kamalaharris.com,,,HARRIS FOR PRESIDENT,100.8732273
Kamala Harris,665000,6600,Nevada,"As President, Kamala Harris will do what she has always done – fight for the people.",kamalaharris.com,,,HARRIS FOR PRESIDENT,100.7575758
Kamala Harris,75499.5,749.5,Nevada,Our fight is a fight for the future. Donald Trump’s fight is a fight for himself.,kamalaharris.com,,,HARRIS FOR PRESIDENT,100.7331554
Kamala Harris,226000,2249.5,Nevada,"While Donald Trump killed the bipartisan border bill, Kamala Harris has a plan to secure our border while providing an earned pathway for citizenship.",kamalaharris.com,,Kamala Harris’ border strategy:,HARRIS FOR PRESIDENT,100.4667704
Kamala Harris,15000,149.5,Nevada,"Weaponizing the Department of Justice, banning abortion nationwide, ending the Affordable Care Act, and gutting the Department of Education – it’s all a part of Trump’s Project 2025 agenda.",kamalaharris.com,,Defeat Project 2025,HARRIS FOR PRESIDENT,100.3344482
Kamala Harris,225000,2249.5,Nevada,"Former Trump staffers know exactly what will happen if Trump is reelected: he’ll enact his extreme, Project 2025 agenda. We can’t let that happen.",kamalaharris.com,,,HARRIS FOR PRESIDENT,100.0222272
Kamala Harris,80000,800,Nevada,"As a former prosecutor, Attorney General, Senator, and Vice President, Kamala Harris has always fought for the people. She’s the only candidate fit to lead our nation.",www.kamalaharris.com,,,HARRIS FOR PRESIDENT,100
Kamala Harris,140000,1400,Nevada,"It’s clear: Project 2025 is Trump’s agenda, written by his close allies, for him to inflict on our country.",kamalaharris.com,,,HARRIS FOR PRESIDENT,100
Kamala Harris,20000,200,Nevada,"Republicans, national security experts, and former Congresswoman Liz Cheney all agree: Kamala Harris is the only candidate fit to lead our nation.",kamalaharris.com,,,HARRIS FOR PRESIDENT,100
Kamala Harris,573999,5747.5,Nevada,It’s time to get off the sidelines. Go vote.,iwillvote.com,,,HARRIS FOR PRESIDENT,99.86933449
Kamala Harris,1345000,13500,Nevada,"As President, Kamala Harris will do what she has always done – fight for the people.",kamalaharris.com,,Kamala Harris for the People,HARRIS FOR PRESIDENT,99.62962963
Kamala Harris,585000,5900,Nevada,"El  Dr. Quintana tiene razón: Trump eliminaría la Ley de Cuidado de la Salud a Bajo Precio, Kamala Harris protegerá nuestra atención médica.",kamalaharris.com,,Kamala Harris protegerá nuestro acceso al cuidado de la salud,HARRIS FOR PRESIDENT,99.15254237
Kamala Harris,79000,798,Nevada,"For the patriots who defended the U.S. Capitol on January 6th, Trump’s attacks on our democracy are insulting. Now, we all have a chance to defend democracy by electing Kamala Harris.",kamalaharris.com,,,HARRIS FOR PRESIDENT,98.99749373
Kamala Harris,267000,2698,Nevada,"While Donald Trump is fighting for the ultra-rich, Kamala Harris is fighting for the middle class.",kamalaharris.com,,,HARRIS FOR PRESIDENT,98.96219422
Kamala Harris,201000,2049.5,Nevada,"El día de las elecciones es el 5 de noviembre, ¡así que haz tu plan para votar y haz oír tu voz!",voyavotar.com,Sé un votante. Encuentra todo lo que necesites para votar en las próximas elecciones de tu estado.,Voy A Votar,HARRIS FOR PRESIDENT,98.07270066
Kamala Harris,24000,248.5,Nevada,Trump said it himself – he’ll cut taxes for the people who are “rich as hell.” Kamala Harris will cut taxes for middle class families.,kamalaharris.com,,,HARRIS FOR PRESIDENT,96.57947686
Kamala Harris,101000,1047.5,Nevada,Esta es nuestra oportunidad de defender nuestra democracia. Vota por Harris-Walz el 5 de noviembre.,kamalaharris.com,,,HARRIS FOR PRESIDENT,96.42004773
Kamala Harris,125000,1300,Nevada,There’s no question: Kamala Harris is the only candidate who fights for you.,kamalaharris.com,,,HARRIS FOR PRESIDENT,96.15384615
Kamala Harris,187000,1948.5,Nevada,Kamala Harris knows we need immigration reform. Families should be together.,kamalaharris.com,,Why a former Republican is supporting Kamala Harris,HARRIS FOR PRESIDENT,95.97125994
Kamala Harris,115000,1200,Nevada,Kamala Harris will invest in entrepreneurship and small businesses because she knows that small businesses are the backbones of our communities.,kamalaharris.com,,,HARRIS FOR PRESIDENT,95.83333333
Kamala Harris,105000,1100,Nevada,Don’t be like this guy. Make a plan to vote today.,iwillvote.com,,Make a plan to vote today →,HARRIS FOR PRESIDENT,95.45454545
Kamala Harris,219000,2300,Nevada,"Families are working hard to make ends meet, while large corporations have been raking in record profits. That’s why Kamala Harris has a plan to go after bad actors who rip off consumers and bring down costs.",kamalaharris.com,,,HARRIS FOR PRESIDENT,95.2173913
Kamala Harris,685000,7200,Nevada,Dr. Quintana is right: Trump would rip away the Affordable Care Act. Kamala Harris will protect our health care.,kamalaharris.com,,Kamala Harris will protect health care,HARRIS FOR PRESIDENT,95.13888889
Kamala Harris,1081498.5,11398,Nevada,"Hear it from Chef José Andrés: If you’re tired of Trump’s attacks and division, we can turn the page. Kamala Harris will bring down costs, support small businesses, and help Latino families get ahead.",kamalaharris.com,,Vote for Kamala Harris on November 5,HARRIS FOR PRESIDENT,94.88493595
Kamala Harris,23499.5,249.5,Nevada,Donald Trump is working hard for himself and his billionaire buddies. He doesn’t care about regular people at all.,kamalaharris.com,,,HARRIS FOR PRESIDENT,94.18637275
Kamala Harris,130999,1399,Nevada,Kamala Harris is fighting for a better future. Donald Trump is fighting for himself.,kamalaharris.com,,,HARRIS FOR PRESIDENT,93.63759828
Kamala Harris,215000,2300,Nevada,"Unlike Trump, who is running to have unchecked power, Kamala Harris fights for the people. The choice could not be more clear this November.",kamalaharris.com,,,HARRIS FOR PRESIDENT,93.47826087
Kamala Harris,260000,2800,Nevada,Kamala Harris will invest in entrepreneurship and small businesses because she knows that small businesses are the backbones of our communities.,kamalaharris.com,,She’s got the policies.,HARRIS FOR PRESIDENT,92.85714286
Kamala Harris,176000,1899,Nevada,,www.townandcountrymag.com,,,HARRIS FOR PRESIDENT,92.68035808
Kamala Harris,110498.5,1195,Nevada,It’s time to get off the sidelines. Get out there and vote.,iwillvote.com,,Vote.,HARRIS FOR PRESIDENT,92.46736402
Kamala Harris,134000,1449.5,Nevada,Trump only cares about lowering costs for his billionaire friends. Kamala Harris cares about lowering costs for YOU.,kamalaharris.com,,,HARRIS FOR PRESIDENT,92.44567092
Kamala Harris,120000,1300,Nevada,"While Donald Trump is fighting for the ultra-rich, Kamala Harris is fighting for the middle class.",kamalaharris.com,,Harris Fights for the Middle Class,HARRIS FOR PRESIDENT,92.30769231
Kamala Harris,235000,2549.5,Nevada,"Vice President Harris’ mother immigrated to the U.S. from India, was a “world-renowned scientist” and civil rights activist, and inspired Harris to fight for the people.",townandcountrymag.com,"You can’t know who Kamala Harris is without knowing who our mother was, Kamala's sister once said.","Kamala Harris's Mother, Shyamala Gopalan Harris, Taught Her Daughters Resilience",HARRIS FOR PRESIDENT,92.17493626
Kamala Harris,92000,999,Nevada,Banning abortion nationwide and monitoring women’s pregnancies? That’s exactly what Trump’s Project 2025 agenda calls for.,kamalaharris.com,,,HARRIS FOR PRESIDENT,92.09209209
Kamala Harris,114494.5,1243.5,Nevada,"We’re taking our fight for freedom to the ballot box. When we vote, we win!",iwillvote.com,,,HARRIS FOR PRESIDENT,92.07438681
Kamala Harris,591994,6439.5,Nevada,Kamala Harris is fighting for our future. Make a plan to vote.,iwillvote.com,,,HARRIS FOR PRESIDENT,91.93167171
Kamala Harris,380000,4148.5,Nevada,"Como presidenta, Kamala Harris hará lo que siempre ha hecho – luchar por la gente.",kamalaharris.com,,"Cuando luchamos, ganamos",HARRIS FOR PRESIDENT,91.59937327
Kamala Harris,73000,799,Nevada,"Trump’s proud to have overturned Roe v. Wade, unleashing abortion bans across the country. He calls these cruel bans that are denying care to women like Kaitlyn, “a beautiful thing to watch.”",kamalaharris.com,,,HARRIS FOR PRESIDENT,91.36420526
Kamala Harris,643498.5,7047.5,Nevada,"Election Day is November 5, so make your plan to vote NOW so that your voice is heard!",iwillvote.com,Be a voter. Find everything you need to vote in your state's next election.,Make a plan to vote now!,HARRIS FOR PRESIDENT,91.30876197
Kamala Harris,1175000,12900,Nevada,"Donald Trump’s Project 2025 agenda could effectively ban IVF – preventing families, like Yesenia and her husband, from their chance to have a child.",kamalaharris.com,,,HARRIS FOR PRESIDENT,91.08527132
Kamala Harris,672998,7396,Nevada,Ours is a fight for the future. Donald Trump’s is a fight for himself.,iwillvote.com,,We are not going back.,HARRIS FOR PRESIDENT,90.99486209
Kamala Harris,9000,99,Nevada,Donald Trump said it himself: He doesn’t care about you. He has no plan to help the middle class. Kamala Harris is ready to invest in the American people and build up the middle class.,kamalaharris.com,,,HARRIS FOR PRESIDENT,90.90909091
Kamala Harris,475499.5,5249.5,Nevada,Kamala Harris has a plan that will help small businesses get their start and grow.,kamalaharris.com,,,HARRIS FOR PRESIDENT,90.57996
Kamala Harris,190000,2100,Nevada,"Trump’s Project 2025 agenda would give him complete, total power.",kamalaharris.com,,,HARRIS FOR PRESIDENT,90.47619048
Kamala Harris,149000,1649.5,Nevada,"Donald Trump has bragged about getting rid of Roe v. Wade, unleashing cruel abortion bans across the nation. Meanwhile, Kamala Harris is fighting to defend our reproductive freedom.",kamalaharris.com,,,HARRIS FOR PRESIDENT,90.33040315
Kamala Harris,1030000,11500,Nevada,,kamalaharris.com,,Trump wants to punish women,HARRIS FOR PRESIDENT,89.56521739
Kamala Harris,398000,4448.5,Nevada,This is a close election and every vote matters. Don’t sit on the sidelines.,iwillvote.com,,"When we vote, we win",HARRIS FOR PRESIDENT,89.46836012
Kamala Harris,187000,2099,Nevada,"No importa quién seas, de donde vengas, ni tu partido político, Kamala Harris está luchando para crear un país mejor para ti. Mientras tanto, Donald Trump está luchando solo por sí mismo y sus amigos multimillonarios.",kamalaharris.com,,,HARRIS FOR PRESIDENT,89.09004288
Kamala Harris,417000,4700,Nevada,"It’s no secret corporations have taken advantage of hardworking Americans. While Trump would support billionaires and wealthy corporations, Kamala Harris will work for YOU and your family.",kamalaharris.com,,Kamala Harris will fight for the people,HARRIS FOR PRESIDENT,88.72340426
Kamala Harris,22000,248.5,Nevada,"Donald Trump is unchecked, unhinged, and unstable. We’re not going back.",www.kamalaharris.com,,,HARRIS FOR PRESIDENT,88.53118712
Kamala Harris,22000,249.5,Nevada,"“If Medicare started covering in-home health care like Kamala Harris wants to do, that would absolutely change my life. And my mom’s.” Watch this:",kamalaharris.com,,This would change lives,HARRIS FOR PRESIDENT,88.17635271
